Date,Value,Column_Order,Description,Unit
1973-01,7.223873,12,Total Primary Energy Consumption,Quadrillion Btu
1973-02,6.592366,12,Total Primary Energy Consumption,Quadrillion Btu
1973-03,6.521439,12,Total Primary Energy Consumption,Quadrillion Btu
1973-04,5.941729,12,Total Primary Energy Consumption,Quadrillion Btu
1973-05,6.07194,12,Total Primary Energy Consumption,Quadrillion Btu
1973-06,5.802683,12,Total Primary Energy Consumption,Quadrillion Btu
1973-07,5.951909,12,Total Primary Energy Consumption,Quadrillion Btu
1973-08,6.191657,12,Total Primary Energy Consumption,Quadrillion Btu
1973-09,5.773515,12,Total Primary Energy Consumption,Quadrillion Btu
1973-10,6.174862,12,Total Primary Energy Consumption,Quadrillion Btu
1973-11,6.519033,12,Total Primary Energy Consumption,Quadrillion Btu
1973-12,6.886904,12,Total Primary Energy Consumption,Quadrillion Btu
1974-01,6.904043,12,Total Primary Energy Consumption,Quadrillion Btu
1974-02,6.3143,12,Total Primary Energy Consumption,Quadrillion Btu
1974-03,6.370767,12,Total Primary Energy Consumption,Quadrillion Btu
1974-04,5.861066,12,Total Primary Energy Consumption,Quadrillion Btu
1974-05,5.864485,12,Total Primary Energy Consumption,Quadrillion Btu
1974-06,5.642248,12,Total Primary Energy Consumption,Quadrillion Btu
1974-07,5.985353,12,Total Primary Energy Consumption,Quadrillion Btu
1974-08,6.015502,12,Total Primary Energy Consumption,Quadrillion Btu
1974-09,5.711198,12,Total Primary Energy Consumption,Quadrillion Btu
1974-10,6.182018,12,Total Primary Energy Consumption,Quadrillion Btu
1974-11,6.235546,12,Total Primary Energy Consumption,Quadrillion Btu
1974-12,6.842659,12,Total Primary Energy Consumption,Quadrillion Btu
1975-01,7.056118,12,Total Primary Energy Consumption,Quadrillion Btu
1975-02,6.168996,12,Total Primary Energy Consumption,Quadrillion Btu
1975-03,6.383482,12,Total Primary Energy Consumption,Quadrillion Btu
1975-04,5.797914,12,Total Primary Energy Consumption,Quadrillion Btu
1975-05,5.491667,12,Total Primary Energy Consumption,Quadrillion Btu
1975-06,5.435627,12,Total Primary Energy Consumption,Quadrillion Btu
1975-07,5.669107,12,Total Primary Energy Consumption,Quadrillion Btu
1975-08,5.744318,12,Total Primary Energy Consumption,Quadrillion Btu
1975-09,5.498393,12,Total Primary Energy Consumption,Quadrillion Btu
1975-10,5.908704,12,Total Primary Energy Consumption,Quadrillion Btu
1975-11,5.850411,12,Total Primary Energy Consumption,Quadrillion Btu
1975-12,6.926691,12,Total Primary Energy Consumption,Quadrillion Btu
1976-01,7.312324,12,Total Primary Energy Consumption,Quadrillion Btu
1976-02,6.393452,12,Total Primary Energy Consumption,Quadrillion Btu
1976-03,6.391633,12,Total Primary Energy Consumption,Quadrillion Btu
1976-04,5.855319,12,Total Primary Energy Consumption,Quadrillion Btu
1976-05,5.793322,12,Total Primary Energy Consumption,Quadrillion Btu
1976-06,5.824544,12,Total Primary Energy Consumption,Quadrillion Btu
1976-07,6.024682,12,Total Primary Energy Consumption,Quadrillion Btu
1976-08,5.970726,12,Total Primary Energy Consumption,Quadrillion Btu
1976-09,5.739519,12,Total Primary Energy Consumption,Quadrillion Btu
1976-10,6.244598,12,Total Primary Energy Consumption,Quadrillion Btu
1976-11,6.729925,12,Total Primary Energy Consumption,Quadrillion Btu
