DATE,WM2NS_PCH
12/1/1980,0.2887
1/1/1981,0.60881
2/1/1981,-0.29605
3/1/1981,1.32297
4/1/1981,2.22014
5/1/1981,-0.62591
6/1/1981,0.5649
7/1/1981,1.24512
8/1/1981,0.47798
9/1/1981,0.76006
10/1/1981,1.1312
11/1/1981,0.75864
12/1/1981,1.18692
1/1/1982,0.91804
2/1/1982,-0.59848
3/1/1982,0.73667
4/1/1982,1.78883
5/1/1982,-0.34927
6/1/1982,1.0756
7/1/1982,0.67624
8/1/1982,0.47305
9/1/1982,0.8337
10/1/1982,0.79884
11/1/1982,0.72687
12/1/1982,1.19237
1/1/1983,2.66162
2/1/1983,1.27451
3/1/1983,1.15322
4/1/1983,1.24835
5/1/1983,-0.17628
6/1/1983,1.07062
7/1/1983,0.82851
8/1/1983,0.10851
9/1/1983,0.45531
10/1/1983,0.9012
11/1/1983,0.88125
12/1/1983,0.62211
1/1/1984,0.65533
2/1/1984,0.10303
3/1/1984,0.88955
4/1/1984,1.21639
5/1/1984,-0.09236
6/1/1984,1.02028
7/1/1984,0.58723
8/1/1984,0.14286
9/1/1984,0.53833
10/1/1984,0.67288
11/1/1984,1.24968
12/1/1984,1.33538
1/1/1985,1.13375
2/1/1985,0.02243
3/1/1985,0.68008
4/1/1985,0.84769
5/1/1985,-0.12239
6/1/1985,1.43284
7/1/1985,0.96671
8/1/1985,0.42106
9/1/1985,0.34723
10/1/1985,0.66186
11/1/1985,0.49049
12/1/1985,0.87858
1/1/1986,0.56762
2/1/1986,-0.57853
3/1/1986,0.95324
4/1/1986,1.64464
5/1/1986,0.09646
6/1/1986,1.29621
7/1/1986,1.20928
8/1/1986,0.43392
9/1/1986,0.5141
10/1/1986,1.00187
11/1/1986,0.58015
12/1/1986,1.23305
1/1/1987,1.00255
2/1/1987,-0.96163
3/1/1987,0.37687
4/1/1987,1.34606
5/1/1987,-0.83944
6/1/1987,0.46206
7/1/1987,0.5821
8/1/1987,-0.04772
9/1/1987,0.27748
10/1/1987,0.61302
11/1/1987,0.30615
12/1/1987,0.63208
1/1/1988,0.8054
2/1/1988,-0.1479
3/1/1988,1.03669
4/1/1988,1.44784
5/1/1988,-0.63476
6/1/1988,0.91473
7/1/1988,0.64307
8/1/1988,-0.17806
9/1/1988,0.08173
10/1/1988,0.27481
11/1/1988,0.79631
12/1/1988,0.48779
1/1/1989,0.13295
2/1/1989,-0.64421
3/1/1989,0.54829
4/1/1989,0.91716
5/1/1989,-1.00252
6/1/1989,0.85995
7/1/1989,1.01413
8/1/1989,0.64418
9/1/1989,0.43219
10/1/1989,0.65432
11/1/1989,0.98517
12/1/1989,0.74945
1/1/1990,0.44347
2/1/1990,-0.12558
3/1/1990,0.65317
4/1/1990,0.84094
5/1/1990,-0.94973
6/1/1990,0.71874
7/1/1990,0.41414
8/1/1990,0.5046
9/1/1990,0.32962
10/1/1990,0.07648
11/1/1990,0.41024
12/1/1990,0.50718
1/1/1991,0.28994
2/1/1991,0.07672
3/1/1991,0.86377
4/1/1991,0.77751
5/1/1991,-0.54675
6/1/1991,0.57288
7/1/1991,0.13527
8/1/1991,-0.02848
9/1/1991,-0.17018
10/1/1991,0.25115
11/1/1991,0.38003
12/1/1991,0.49899
1/1/1992,0.03752
2/1/1992,0.03987
3/1/1992,0.43222
4/1/1992,0.63304
5/1/1992,-1.02676
6/1/1992,-0.02258
7/1/1992,0.2189
8/1/1992,-0.00928
9/1/1992,0.22138
10/1/1992,0.44311
11/1/1992,0.4018
12/1/1992,0.30225
1/1/1993,-0.20269
2/1/1993,-1.03806
3/1/1993,0.25878
4/1/1993,0.75365
5/1/1993,-0.31458
6/1/1993,0.53327
7/1/1993,0.10245
8/1/1993,-0.14677
9/1/1993,0.18043
10/1/1993,0.18939
11/1/1993,0.50612
12/1/1993,0.73374
1/1/1994,-0.36842
2/1/1994,-0.63545
3/1/1994,0.50005
4/1/1994,0.86785
5/1/1994,-0.97829
6/1/1994,0.17378
7/1/1994,0.38231
8/1/1994,-0.30568
9/1/1994,-0.06104
10/1/1994,-0.11367
11/1/1994,0.47706
12/1/1994,0.42597
1/1/1995,-0.26961
2/1/1995,-0.65034
3/1/1995,0.47558
4/1/1995,0.97459
5/1/1995,-0.64237
6/1/1995,1.2054
7/1/1995,0.60427
8/1/1995,0.55114
9/1/1995,0.29351
10/1/1995,0.05339
11/1/1995,0.68101
12/1/1995,0.69904
1/1/1996,0.17845
2/1/1996,-0.26979
3/1/1996,1.21474
4/1/1996,0.76943
5/1/1996,-0.75952
6/1/1996,0.83757
7/1/1996,0.2676
8/1/1996,0.34168
9/1/1996,-0.02151
10/1/1996,0.46312
11/1/1996,0.82195
12/1/1996,1.17433
1/1/1997,0.2729
2/1/1997,-0.35369
3/1/1997,0.95403
4/1/1997,1.09018
5/1/1997,-1.12266
6/1/1997,0.76427
7/1/1997,0.60382
8/1/1997,0.73159
9/1/1997,0.29988
10/1/1997,0.44532
11/1/1997,0.73473
12/1/1997,1.05768
1/1/1998,0.48577
2/1/1998,0.01352
3/1/1998,1.35545
4/1/1998,1.38896
5/1/1998,-1.03301
6/1/1998,0.7396
7/1/1998,0.62336
8/1/1998,0.49126
9/1/1998,0.92719
10/1/1998,0.76027
11/1/1998,1.19513
12/1/1998,1.36356
1/1/1999,0.43431
2/1/1999,-0.14546
3/1/1999,0.84673
4/1/1999,1.40361
5/1/1999,-1.11768
6/1/1999,0.78893
7/1/1999,0.53782
8/1/1999,0.34431
9/1/1999,0.45129
10/1/1999,0.35783
11/1/1999,0.67888
12/1/1999,1.24963
1/1/2000,0.30525
2/1/2000,-0.01284
3/1/2000,1.23243
4/1/2000,1.75797
5/1/2000,-1.71639
6/1/2000,0.58455
7/1/2000,0.22271
8/1/2000,0.73636
9/1/2000,0.69872
10/1/2000,0.20625
11/1/2000,0.67481
12/1/2000,1.18048
1/1/2001,0.84823
2/1/2001,0.42321
3/1/2001,1.73927
4/1/2001,1.5319
5/1/2001,-1.1193
6/1/2001,0.98352
7/1/2001,0.45208
8/1/2001,0.80121
9/1/2001,2.02706
10/1/2001,-0.26312
11/1/2001,1.19164
12/1/2001,1.43637
1/1/2002,-0.02786
2/1/2002,0.16314
3/1/2002,0.87662
4/1/2002,0.39332
5/1/2002,-0.62941
6/1/2002,0.64149
7/1/2002,0.6374
8/1/2002,0.91256
9/1/2002,0.39384
10/1/2002,0.74329
11/1/2002,1.10566
12/1/2002,0.91331
1/1/2003,0.01655
2/1/2003,0.18144
3/1/2003,1.09022
4/1/2003,1.11531
5/1/2003,-0.07113
6/1/2003,0.8313
7/1/2003,0.8267
8/1/2003,0.94329
9/1/2003,-0.43773
10/1/2003,-0.22193
11/1/2003,0.28629
12/1/2003,0.44613
1/1/2004,-0.46097
2/1/2004,0.10053
3/1/2004,1.34576
4/1/2004,1.36883
5/1/2004,0.04744
6/1/2004,0.4936
7/1/2004,0.11038
8/1/2004,0.228
9/1/2004,0.67086
10/1/2004,0.22605
11/1/2004,0.68874
12/1/2004,0.83234
1/1/2005,-0.63969
2/1/2005,-0.0238
3/1/2005,0.91013
4/1/2005,0.84391
5/1/2005,-0.9865
6/1/2005,0.9235
7/1/2005,0.23181
8/1/2005,0.30411
9/1/2005,0.61798
10/1/2005,0.29578
11/1/2005,0.71738
12/1/2005,0.6956
1/1/2006,0.11205
2/1/2006,0.16118
3/1/2006,1.09809
4/1/2006,1.11081
5/1/2006,-1.1096
6/1/2006,0.85305
7/1/2006,0.25694
8/1/2006,0.34312
9/1/2006,0.39424
10/1/2006,0.46668
11/1/2006,1.03424
12/1/2006,0.88016
1/1/2007,0.26432
2/1/2007,0.00908
3/1/2007,1.24094
4/1/2007,1.33478
5/1/2007,-0.67417
6/1/2007,0.58455
7/1/2007,0.03048
8/1/2007,0.82126
9/1/2007,0.37645
10/1/2007,-0.01845
11/1/2007,0.82903
12/1/2007,0.86446
1/1/2008,0.08837
2/1/2008,0.91294
3/1/2008,1.78658
4/1/2008,0.89367
5/1/2008,-0.92883
6/1/2008,0.33556
7/1/2008,0.24452
8/1/2008,-0.04711
9/1/2008,0.67181
10/1/2008,1.61919
11/1/2008,0.76265
12/1/2008,2.72426
1/1/2009,1.02805
2/1/2009,0.01961
3/1/2009,1.69455
4/1/2009,0.2661
5/1/2009,-0.32457
6/1/2009,0.20707
7/1/2009,-0.33372
8/1/2009,-0.31094
9/1/2009,0.14317
10/1/2009,0.2986
11/1/2009,0.79953
12/1/2009,0.66945
1/1/2010,-0.79007
2/1/2010,0.09582
3/1/2010,0.92921
4/1/2010,0.53011
5/1/2010,-0.39354
6/1/2010,0.36478
7/1/2010,-0.36125
8/1/2010,0.27874
9/1/2010,0.56779
10/1/2010,0.61412
11/1/2010,0.67368
12/1/2010,1.02729
1/1/2011,0.00774
2/1/2011,0.38478
3/1/2011,1.25772
4/1/2011,0.73009
5/1/2011,-0.51034
6/1/2011,0.93848
7/1/2011,1.48688
8/1/2011,2.23693
9/1/2011,0.55765
10/1/2011,0.49244
11/1/2011,0.92677
12/1/2011,0.79338
1/1/2012,0.61323
2/1/2012,0.1278
3/1/2012,1.13073
4/1/2012,0.56101
5/1/2012,-0.64559
6/1/2012,0.68348
7/1/2012,0.49634
8/1/2012,0.63309
9/1/2012,0.86849
10/1/2012,0.7624
11/1/2012,1.10439
12/1/2012,1.6617
1/1/2013,0.0322
2/1/2013,-0.43955
3/1/2013,1.19315
4/1/2013,0.68989
5/1/2013,-0.87053
6/1/2013,0.55294
7/1/2013,0.41091
8/1/2013,0.50157
9/1/2013,0.63745
10/1/2013,1.2345
11/1/2013,0.30116
12/1/2013,1.12564
1/1/2014,0.1974
2/1/2014,0.23805
3/1/2014,1.15376
4/1/2014,0.6382
5/1/2014,-0.64672
6/1/2014,0.61915
7/1/2014,0.50052
8/1/2014,0.24712
9/1/2014,0.34433
10/1/2014,0.7353
11/1/2014,0.45808
12/1/2014,1.23676
1/1/2015,0.19499
2/1/2015,0.50566
3/1/2015,1.05144
4/1/2015,0.64651
5/1/2015,-1.03198
6/1/2015,0.45555
7/1/2015,0.52639
8/1/2015,0.38748
9/1/2015,0.6339
10/1/2015,0.15631
11/1/2015,1.06958
12/1/2015,1.09566
1/1/2016,0.49506
2/1/2016,0.16841
3/1/2016,1.38802
4/1/2016,0.88928
5/1/2016,-0.68455
6/1/2016,0.64657
7/1/2016,0.43231
8/1/2016,0.70526
9/1/2016,0.63049
10/1/2016,0.44327
11/1/2016,0.91491
12/1/2016,0.71148
1/1/2017,0.06188
2/1/2017,0.051
3/1/2017,1.35944
4/1/2017,0.8058
5/1/2017,-0.90194
6/1/2017,0.39832
7/1/2017,0.42751
8/1/2017,0.55476
9/1/2017,0.33618
10/1/2017,0.32918
11/1/2017,0.53772
12/1/2017,0.79787
1/1/2018,-0.3173
2/1/2018,-0.32343
3/1/2018,1.20003
4/1/2018,0.52416
5/1/2018,-0.73309
6/1/2018,0.654
7/1/2018,0.27774
8/1/2018,0.38941
9/1/2018,0.26728
10/1/2018,0.00789
11/1/2018,0.29704
12/1/2018,1.34643
1/1/2019,0.00357
2/1/2019,-0.32388
3/1/2019,1.10321
4/1/2019,0.56241
5/1/2019,-0.45706
6/1/2019,1.0794
7/1/2019,0.5664
8/1/2019,0.58682
9/1/2019,0.60314
10/1/2019,0.86708
11/1/2019,0.86277
12/1/2019,1.03798
1/1/2020,0.08248
2/1/2020,-0.32025
3/1/2020,3.82435
4/1/2020,6.89909
5/1/2020,3.8185
6/1/2020,2.04137
7/1/2020,1.09107
8/1/2020,0.23207
9/1/2020,1.29678
10/1/2020,0.63953
11/1/2020,1.5809
12/1/2020,1.46989
